Date,Open,High,Low,Close,Volume,Change
1994-04-22,45.015625,45.046875,44.734375,44.859375,301800,-0.0010438413361169101
1994-04-25,44.84375,45.359375,44.84375,45.328125,394600,0.01044932079414838
1994-04-26,45.265625,45.34375,45.1875,45.28125,399000,-0.001034126163391934
1994-04-28,45.1875,45.25,44.8125,44.953125,287000,-0.007246376811594203
1994-04-29,44.875,45.15625,44.8125,45.09375,481900,0.0031282586027111575
1994-05-02,45.09375,45.71875,44.9375,45.375,275000,0.006237006237006237
1994-05-03,45.390625,45.40625,45.0625,45.328125,183400,-0.0010330578512396695
1994-05-04,45.421875,45.421875,45.078125,45.25,401900,-0.001723543605653223
1994-05-05,45.296875,45.375,45.1875,45.1875,659800,-0.0013812154696132596
1994-05-06,44.96875,44.96875,44.59375,44.75,216300,-0.009681881051175657
1994-05-09,44.625,44.75,44.28125,44.359375,499300,-0.008729050279329608
1994-05-10,44.578125,44.84375,44.546875,44.703125,583400,0.007749207467418105
1994-05-11,44.65625,44.71875,44.171875,44.296875,210600,-0.009087731562390773
1994-05-12,44.578125,44.625,44.40625,44.515625,305200,0.0049382716049382715
1994-05-13,44.640625,44.640625,44.296875,44.515625,321300,0.0
1994-05-16,44.609375,44.75,44.515625,44.53125,450400,0.000351000351000351
1994-05-17,44.5625,45.1875,44.5,45.1875,470200,0.014736842105263158
1994-05-18,45.21875,45.6875,45.015625,45.515625,824800,0.007261410788381743
1994-05-19,45.421875,45.859375,45.421875,45.734375,531000,0.004806041881222108
1994-05-20,45.65625,45.6875,45.5,45.5625,370400,-0.0037581141100102495
1994-05-23,45.515625,45.53125,45.34375,45.484375,262700,-0.0017146776406035665
1994-05-24,45.609375,45.84375,45.609375,45.671875,549600,0.004122294744074201
1994-05-25,45.5,45.828125,45.34375,45.796875,738200,0.0027369141293191925
1994-05-26,45.78125,45.9375,45.734375,45.828125,369600,0.000682360968952576
1994-05-27,45.75,45.875,45.671875,45.875,162000,0.0010228435049437436
1994-05-31,45.734375,45.90625,45.65625,45.8125,160000,-0.0013623978201634877
1994-06-01,45.703125,46.015625,45.5625,46.015625,200500,0.004433833560709414
1994-06-02,46.046875,46.046875,45.890625,45.96875,55100,-0.0010186757215619694
1994-06-03,46.0,46.390625,45.859375,46.234375,550400,0.005778382053025153
1994-06-06,46.328125,46.46875,46.1875,46.21875,99300,-0.0003379520108144643
1994-06-07,46.140625,46.21875,46.03125,46.15625,120600,-0.001352265043948614
1994-06-08,46.265625,46.265625,45.78125,45.78125,131900,-0.008124576844955992
1994-06-09,45.984375,46.03125,45.890625,46.03125,80500,0.005460750853242321
1994-06-10,46.078125,46.203125,46.078125,46.109375,83100,0.0016972165648336728
1994-06-13,46.046875,46.1875,46.03125,46.171875,109700,0.0013554727211114877
1994-06-14,46.3125,46.546875,46.3125,46.53125,161000,0.0077834179357022
1994-06-15,46.546875,46.5625,46.3125,46.34375,142800,-0.004029550033579583
1994-06-16,46.34375,46.46875,46.296875,46.4375,44000,0.0020229265003371545
1994-06-17,46.15625,46.203125,45.8125,45.875,403800,-0.012113055181695828
1994-06-20,45.546875,45.625,45.4375,45.484375,137400,-0.0085149863760218
1994-06-21,45.453125,45.453125,44.90625,45.09375,139200,-0.008588114050154586
1994-06-22,45.21875,45.421875,45.171875,45.265625,279900,0.0038115038115038116
1994-06-23,45.34375,45.40625,44.9375,45.0,922500,-0.005868139454608215
1994-06-24,44.78125,44.78125,44.0,44.0625,353800,-0.020833333333333332
1994-06-27,44.234375,44.828125,44.015625,44.828125,371200,0.017375886524822696
1994-06-28,44.84375,44.84375,44.25,44.609375,5382300,-0.004879749041477867
1994-06-29,44.671875,45.015625,44.625,44.75,311800,0.0031523642732049035
1994-06-30,44.828125,44.84375,44.3125,44.46875,271900,-0.006284916201117319
